nom,prixHT,description,photo
libero,312.68,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",http://dummyimage.com/184x100.png/cc0000/ffffff
in purus eu,764.96,Nulla tempus.,http://dummyimage.com/166x100.png/ff4444/ffffff
sem,594.11,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",http://dummyimage.com/125x100.png/5fa2dd/ffffff
sapien dignissim vestibulum,680.2,Curabitur at ipsum ac tellus semper interdum.,http://dummyimage.com/245x100.png/dddddd/000000
felis,55.12,Morbi a ipsum.,http://dummyimage.com/208x100.png/ff4444/ffffff
phasellus in felis,540.15,Nam tristique tortor eu pede.,http://dummyimage.com/104x100.png/5fa2dd/ffffff
ridiculus,79.07,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",http://dummyimage.com/118x100.png/ff4444/ffffff
orci luctus,39.92,Nam dui.,http://dummyimage.com/152x100.png/ff4444/ffffff
nisl ut,31.69,Nullam molestie nibh in lectus.,http://dummyimage.com/169x100.png/dddddd/000000
feugiat et eros,409.3,Pellentesque eget nunc.,http://dummyimage.com/129x100.png/ff4444/ffffff
enim sit amet,491.05,In eleifend quam a odio.,http://dummyimage.com/165x100.png/dddddd/000000
sollicitudin mi sit,555.08,In hac habitasse platea dictumst.,http://dummyimage.com/111x100.png/ff4444/ffffff
vel dapibus,160.94,Curabitur at ipsum ac tellus semper interdum.,http://dummyimage.com/138x100.png/ff4444/ffffff
ridiculus mus etiam,44.85,Etiam pretium iaculis justo.,http://dummyimage.com/139x100.png/ff4444/ffffff
parturient montes nascetur,71.48,Etiam vel augue.,http://dummyimage.com/242x100.png/ff4444/ffffff
justo,682.85,Donec semper sapien a libero.,http://dummyimage.com/101x100.png/ff4444/ffffff
vitae ipsum,481.34,Duis ac nibh.,http://dummyimage.com/158x100.png/cc0000/ffffff
integer,463.94,Nullam molestie nibh in lectus.,http://dummyimage.com/125x100.png/dddddd/000000
penatibus,393.55,Suspendisse accumsan tortor quis turpis.,http://dummyimage.com/246x100.png/ff4444/ffffff
interdum,499.74,Nullam molestie nibh in lectus.,http://dummyimage.com/225x100.png/5fa2dd/ffffff
elementum pellentesque quisque,244.92,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",http://dummyimage.com/179x100.png/ff4444/ffffff
aliquam quis,765.47,Quisque porta volutpat erat.,http://dummyimage.com/212x100.png/5fa2dd/ffffff
in,758.87,Morbi ut odio.,http://dummyimage.com/203x100.png/5fa2dd/ffffff
